Time,Temperature,,
0,36.9572,,
1,34.5488,,
2,33.5498,,
3,33.638,,
4,33.9836,,
5,34.2518,,
6,37.5062,,
7,36.23,,
8,35.6576,,
9,35.3966,,
10,35.2022,,
11,34.511,,
12,34.7972,,
13,35.024,,
14,34.3544,,
15,33.683,,
16,37.4108,,
17,35.0024,,
18,35.924,,
19,36.0716,,
20,37.13,,
21,34.3058,,
22,34.7594,,
23,34.1996,,
24,33.7568,,
25,33.5048,,
26,34.8422,,
27,34.1042,,
28,34.2302,,
29,33.7622,,
30,35.7026,,
31,37.9166,,
32,37.8878,,
33,35.9114,,
34,36.2966,,
35,36.2642,,
36,35.5856,,
37,36.6656,,
38,36.3308,,
39,34.8008,,
40,37.8698,,
41,37.6772,,
42,34.6208,,
43,35.9654,,
44,37.9544,,
45,36.2156,,
46,35.744,,
47,37.3208,,
48,34.2572,,
49,33.5102,,
50,33.5246,,
51,33.7424,,
52,34.826,,
53,36.635,,
54,38.6168,,
55,40.5032,,
56,35.8844,,
57,36.8564,,
58,39.1532,,
59,39.0002,,
60,34.5164,,
61,35.753,,
62,33.9206,,
63,33.6758,,
64,35.2004,,
65,36.608,,
66,34.5866,,
67,34.0592,,
68,33.8522,,
69,35.7314,,
70,34.7756,,
71,34.8746,,
72,34.5668,,
73,33.2924,,
74,34.349,,
75,33.5084,,
76,34.0232,,
77,35.1392,,
78,35.3012,,
79,36.3524,,
80,35.2274,,
81,35.357,,
82,34.133,,
83,33.386,,
84,34.844,,
85,33.6146,,
86,35.2436,,
87,33.818,,
88,33.3032,,
89,35.5496,,
90,40.3448,,
91,36.6116,,
92,38.003,,
93,34.7774,,
94,36.1778,,
95,36.32,,
96,36.41,,
97,34.3418,,
98,33.413,,
99,34.3436,,
100,36.2282,,
101,35.3714,,
102,34.8206,,
103,35.9618,,
104,37.9508,,
105,36.2732,,
106,36.869,,
107,34.5362,,
108,34.5884,,
109,36.6296,,
110,35.1788,,
111,36.2642,,
112,35.0258,,
113,36.176,,
114,36.2318,,
115,35.8754,,
