Date,PH
01-01-2020,NA
02-01-2020,NA
03-01-2020,2.1
04-01-2020,2.5
05-01-2020,3.8
06-01-2020,3.1
07-01-2020,3.5
08-01-2020,4.8
09-01-2020,4.1
10-01-2020,4.5
11-01-2020,5.8
12-01-2020,5.1
13-01-2020,1.5
14-01-2020,3.1
15-01-2020,3.5
16-01-2020,4.8
17-01-2020,4
18-01-2020,5.5
19-01-2020,1
20-01-2020,1.1
21-01-2020,1.2
22-01-2020,1.3
23-01-2020,1.4
24-01-2020,1.5
25-01-2020,1.6
26-01-2020,1.7
27-01-2020,1.8
28-01-2020,1.9
29-01-2020,2
30-01-2020,2.1
31-01-2020,2.2
01-02-2020,2.3
02-02-2020,2.4
03-02-2020,2.5
04-02-2020,2.6
05-02-2020,2.7
06-02-2020,2.8
07-02-2020,2.9
08-02-2020,3
09-02-2020,3.1
10-02-2020,3.2
11-02-2020,3.4
12-02-2020,3.5
13-02-2020,3.6
14-02-2020,3.7
15-02-2020,3.8
16-02-2020,3.9
17-02-2020,4
18-02-2020,4.1
19-02-2020,4.2
20-02-2020,4.3
21-02-2020,4.4
22-02-2020,4.5
23-02-2020,4.6
24-02-2020,4.7
25-02-2020,4.8
26-02-2020,4.9
27-02-2020,5
28-02-2020,5.1
29-02-2020,5.2
01-03-2020,5.3
02-03-2020,5.4
03-03-2020,5.5
04-03-2020,5.6
05-03-2020,5.7
06-03-2020,5.8
07-03-2020,2.1
08-03-2020,2.5
09-03-2020,3.8
10-03-2020,3.1
11-03-2020,3.5
12-03-2020,4.8
13-03-2020,4.1
14-03-2020,4.5
15-03-2020,5.8
16-03-2020,5.1
17-03-2020,1.5
18-03-2020,3.1
19-03-2020,3.5
20-03-2020,4.8
21-03-2020,4
22-03-2020,5.5
23-03-2020,1
24-03-2020,1.1
25-03-2020,1.2
26-03-2020,1.3
27-03-2020,1.4
28-03-2020,1.5
29-03-2020,1.6
30-03-2020,1.7
31-03-2020,1.8
01-04-2020,1.9
02-04-2020,2
03-04-2020,2.1
04-04-2020,2.2
05-04-2020,2.3
06-04-2020,2.4
07-04-2020,2.5
08-04-2020,2.6
09-04-2020,2.7
10-04-2020,2.8
11-04-2020,2.9
12-04-2020,3
13-04-2020,3.1
14-04-2020,3.2
15-04-2020,3.4
16-04-2020,3.5
17-04-2020,3.6
18-04-2020,3.7
19-04-2020,3.8
2020-04-2020,3.9
21-04-2020,4
22-04-2020,4.1
23-04-2020,4.2
24-04-2020,4.3
25-04-2020,4.4
26-04-2020,4.5
27-04-2020,4.6
28-04-2020,4.7
29-04-2020,4.8
30-04-2020,4.9
01-05-2020,5
02-05-2020,5.1
03-05-2020,5.2
04-05-2020,5.3
05-05-2020,5.4
06-05-2020,5.5
07-05-2020,5.6
08-05-2020,5.7
09-05-2020,5.8
10-05-2020,4.5
11-05-2020,4.6
12-05-2020,4.7
13-05-2020,4.8
14-05-2020,4.9
15-05-2020,5
16-05-2020,5.1
17-05-2020,5.2
18-05-2020,5.3
19-05-2020,5.4
2020-05-2020,5.5
21-05-2020,5.6
22-05-2020,5.7
23-05-2020,5.8
24-05-2020,2.1
25-05-2020,2.5
26-05-2020,3.8
27-05-2020,3.1
28-05-2020,3.5
29-05-2020,4.8
30-05-2020,4.1
31-05-2020,3.5
01-06-2020,4.8
02-06-2020,4
03-06-2020,5.5
04-06-2020,1
05-06-2020,1.1
06-06-2020,1.2
07-06-2020,1.3
08-06-2020,1.4
09-06-2020,1.5
10-06-2020,1.6
11-06-2020,1.7
12-06-2020,1.8
13-06-2020,1.9
14-06-2020,2
15-06-2020,2.1
16-06-2020,2.2
17-06-2020,2.3
18-06-2020,2.4
19-06-2020,2.5
2020-06-2020,2.6
21-06-2020,2.7
22-06-2020,2.8
23-06-2020,2.9
24-06-2020,3
25-06-2020,3.1
26-06-2020,3.2
27-06-2020,3.4
28-06-2020,3.5
29-06-2020,3.6
30-06-2020,3.7
01-07-2020,3.8
02-07-2020,3.9
03-07-2020,4
04-07-2020,4.1
05-07-2020,4.2
06-07-2020,4.3
07-07-2020,4.4
08-07-2020,4.5
09-07-2020,4.6
10-07-2020,4.7
11-07-2020,4.8
12-07-2020,4.9
13-07-2020,5
14-07-2020,5.1
15-07-2020,5.2
16-07-2020,5.3
17-07-2020,5.4
18-07-2020,5.5
19-07-2020,5.6
2020-07-2020,5.7
21-07-2020,5.8
22-07-2020,4.5
23-07-2020,4.6
24-07-2020,4.7
25-07-2020,5.7
26-07-2020,5.8
27-07-2020,4.5
28-07-2020,4.6
29-07-2020,4.7
30-07-2020,4.8
31-07-2020,4.9
01-08-2020,5
02-08-2020,5.1
03-08-2020,5.2
04-08-2020,5.3
05-08-2020,5.4
06-08-2020,5.5
07-08-2020,5.6
08-08-2020,5.7
09-08-2020,5.8
10-08-2020,2.1
11-08-2020,2.5
12-08-2020,3.8
13-08-2020,3.1
14-08-2020,3.5
15-08-2020,4.8
16-08-2020,4.1
17-08-2020,3.5
18-08-2020,4.8
19-08-2020,4
2020-08-2020,5.5
21-08-2020,1
22-08-2020,1.1
23-08-2020,1.2
24-08-2020,1.3
25-08-2020,1.4
26-08-2020,1.5
27-08-2020,1.6
28-08-2020,1.7
29-08-2020,1.8
30-08-2020,1.9
31-08-2020,2
01-09-2020,2.1
02-09-2020,2.2
03-09-2020,2.3
04-09-2020,2.4
05-09-2020,2.5
06-09-2020,2.6
07-09-2020,2.7
08-09-2020,2.8
09-09-2020,2.9
10-09-2020,3
11-09-2020,3.1
12-09-2020,3.2
13-09-2020,3.4
14-09-2020,3.5
15-09-2020,3.6
16-09-2020,3.7
17-09-2020,3.8
18-09-2020,3.9
19-09-2020,4
2020-09-2020,4.1
21-09-2020,4.2
22-09-2020,4.3
23-09-2020,4.4
24-09-2020,4.5
25-09-2020,4.6
26-09-2020,4.7
27-09-2020,1
28-09-2020,1.1
29-09-2020,1.2
30-09-2020,1.3
01-10-2020,1.4
02-10-2020,1.5
03-10-2020,1.6
04-10-2020,1.7
05-10-2020,1.8
06-10-2020,1.9
07-10-2020,2
08-10-2020,2.1
09-10-2020,2.2
10-10-2020,2.3
11-10-2020,2.4
12-10-2020,2.5
13-10-2020,2.6
14-10-2020,2.7
15-10-2020,2.8
16-10-2020,2.9
17-10-2020,3
18-10-2020,3.1
19-10-2020,3.2
2020-10-2020,3.4
21-10-2020,3.5
22-10-2020,3.6
23-10-2020,3.7
24-10-2020,3.8
25-10-2020,3.9
26-10-2020,4
27-10-2020,4.1
28-10-2020,4.2
29-10-2020,4.3
30-10-2020,4.4
31-10-2020,4.5
01-11-2020,4.6
02-11-2020,4.7
03-11-2020,4.8
04-11-2020,4.9
05-11-2020,5
06-11-2020,5.1
07-11-2020,5.2
08-11-2020,5.3
09-11-2020,5.4
10-11-2020,5.5
11-11-2020,5.6
12-11-2020,5.7
13-11-2020,5.8
14-11-2020,4.5
15-11-2020,4.6
16-11-2020,4.7
17-11-2020,4.8
18-11-2020,4.9
19-11-2020,5
2020-11-2020,5.1
21-11-2020,5.2
22-11-2020,5.3
23-11-2020,5.4
24-11-2020,5.5
25-11-2020,5.6
26-11-2020,5.7
27-11-2020,5.8
28-11-2020,2.1
29-11-2020,2.5
30-11-2020,3.8
01-12-2020,3.1
02-12-2020,3.5
03-12-2020,4.8
04-12-2020,1
05-12-2020,1.1
06-12-2020,1.2
07-12-2020,1.3
08-12-2020,1.4
09-12-2020,1.5
