Time,Relative Humidity
1,85
2,88
3,87
4,88
5,89
6,90
7,90
8,86
9,77
10,63
11,50
12,45
13,44
14,47
15,50
16,50
17,55
18,62
19,72
20,76
21,76
22,78
23,81
24,83
25,86
26,88
27,87
28,87
29,88
30,87
31,92
32,81
33,69
34,57
35,51
36,45
37,48
38,51
39,50
40,51
41,56
42,62
43,66
44,66
45,68
46,70
47,73
48,73
49,73
50,78
51,82
52,82
53,82
54,82
55,81
56,75
57,66
58,58
59,52
60,50
61,51
62,54
63,57
64,58
65,61
66,68
67,70
68,71
69,72
70,72
71,75
72,77
73,79
74,80
75,83
76,82
77,83
78,82
79,81
80,77
81,71
82,64
83,61
84,56
85,55
86,57
87,57
88,58
89,61
90,63
91,66
92,67
93,68
94,69
95,70
96,70
97,73
98,76
99,77
100,79
101,79
102,79
103,77
104,69
105,60
106,54
107,50
108,49
109,50
110,50
111,52
112,54
113,56
114,61
115,62
116,63
117,63
118,63
119,66
120,67
121,67
122,70
123,73
124,75
125,77
126,80
127,81
128,72
129,61
130,55
131,50
132,50
133,54
134,57
135,60
136,62
137,63
138,66
139,69
140,70
141,69
142,70
143,72
144,74
145,76
146,78
147,79
148,80
149,83
150,86
151,85
152,74
153,62
154,55
155,51
156,51
157,52
158,51
159,52
160,53
161,57
162,61
163,65
164,67
165,68
166,69
167,71
168,72
169,74
170,76
171,76
172,79
173,81
174,82
175,83
176,73
177,70
178,68
179,64
180,59
181,56
182,54
183,51
184,51
185,56
186,62
187,66
188,68
189,71
190,73
191,75
192,76
