Temperature,Relative Humidity
25.8562,85
25.2762,88
25.5662,87
25.4162,88
25.1062,89
24.8062,90
24.5162,90
25.0362,86
26.4062,77
28.8062,63
31.346199,50
33.076202,45
33.7662,44
33.326202,47
32.5162,50
31.7362,50
30.5562,55
29.9362,62
28.4362,72
27.8062,76
27.4562,76
27.0662,78
26.6362,81
26.2262,83
25.8562,86
25.426199,88
25.6862,87
25.6362,87
25.346199,88
24.9462,87
22.8762,92
24.9562,81
27.9662,69
30.3962,57
32.236202,51
33.3762,45
33.236202,48
32.4462,51
32.006203,50
31.5662,51
30.7762,56
29.6862,62
28.5862,66
28.2562,66
27.9462,68
27.7462,70
27.426199,73
27.3862,73
27.346199,73
26.5862,78
26.0562,82
26.2262,82
26.4462,82
26.346199,82
25.8262,81
26.9062,75
28.6462,66
30.5762,58
31.9162,52
32.7662,50
32.776203,51
32.116203,54
31.4962,57
30.8562,58
30.0662,61
29.0162,68
28.1562,70
27.8562,71
27.6462,72
27.4762,72
27.1962,75
26.9062,77
26.6562,79
26.2862,80
25.9062,83
26.2362,82
26.176199,83
26.2662,82
26.3562,81
27.176199,77
28.2962,71
29.6962,64
30.3762,61
31.6462,56
31.9862,55
31.6962,57
31.3262,57
31.0362,58
30.4862,61
29.7062,63
28.6862,66
28.2362,67
27.9362,68
27.8162,69
27.6262,70
27.4562,70
27.1962,73
26.8262,76
26.4862,77
26.0362,79
26.0362,79
26.2962,79
26.3162,77
27.7162,69
29.2662,60
30.8162,54
31.8162,50
32.276203,49
32.3162,50
32.2462,50
31.9662,52
31.426199,54
30.7362,56
29.6962,61
28.7762,62
28.4062,63
28.1062,63
27.926199,63
27.6262,66
27.4062,67
27.176199,67
26.846199,70
26.5362,73
26.3162,75
26.0362,77
25.5062,80
24.9362,81
26.6062,72
28.8762,61
30.3562,55
31.4662,50
31.8962,50
31.6962,54
31.3362,57
30.9762,60
30.4362,62
29.846199,63
29.0062,66
28.0862,69
27.8362,70
27.6462,69
27.4662,70
27.176199,72
26.8662,74
26.596199,76
26.2662,78
25.9462,79
25.6062,80
25.0562,83
24.426199,86
24.3362,85
26.3762,74
28.8362,62
30.4762,55
31.5662,51
31.9862,51
32.006203,52
31.9862,51
31.8062,52
31.4062,53
30.6562,57
29.6162,61
28.5562,65
28.1662,67
27.9362,68
27.7862,69
27.5162,71
27.2362,72
26.9462,74
26.6562,76
26.5462,76
26.0362,79
25.5862,81
25.5662,82
25.426199,83
27.3762,73
28.0862,70
28.7962,68
29.6462,64
30.9062,59
31.4762,56
31.6962,54
31.6962,51
31.346199,51
30.6262,56
29.6362,62
28.6462,66
28.2562,68
27.846199,71
27.4662,73
27.096199,75
26.7362,76
